channel,a1xs.vip,tvpass.org,fl1.moveonjoy.com
Sky Sports Football,2000003,,
Sky Sports Main Event,2000001,,
Sky Sports Premier League,2000002,,
Peacock PL,1100021,,
USA Network,1100020,USANetworkEast,USA_NETWORK
Tennis Channel,40000040,TennisChannel,TENNIS_CHANNEL
