channel,a1x,7pal
Tennis Channel,https://a1xs.vip/40000040,https://7pal.short.gy/tennisc
Sky Sports Tennis,https://a1xs.vip/2000013,https://7pal.short.gy/ssportstn
TSN 1,https://a1xs.vip/6000001,https://7pal.short.gy/tsn1ca
TSN 2,https://a1xs.vip/6000002,https://7pal.short.gy/tsn2ca
TSN 3,https://a1xs.vip/6000003,https://7pal.short.gy/tsn3ca
TSN 4,https://a1xs.vip/6000004,https://7pal.short.gy/tsn4ca
TSN 5,https://a1xs.vip/6000005,https://7pal.short.gy/tsn5ca
