channel,a1x,supersonic,kstv,7pal,moj
USA Network,https://a1xs.vip/1100020,http://supersonictv.live:8080/006779/439866/22175,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/15905.m3u8,https://7pal.short.gy/usanetwork,https://fl1.moveonjoy.com/USA_NETWORK/index.m3u8
ESPN,https://a1xs.vip/40000011,http://supersonictv.live:8080/006779/439866/22198,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/15951.m3u8,https://7pal.short.gy/espnus,http://41.205.93.154/ESPN/index.m3u8
ESPN 2,https://a1xs.vip/40000012,http://supersonictv.live:8080/006779/439866/22199,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/15950.m3u8,https://7pal.short.gy/espn2,https://fl31.moveonjoy.com/ESPN_2/index.m3u8
TNT Sports 1,https://a1xs.vip/2000021,http://supersonictv.live:8080/006779/439866/85311,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/47850.m3u8,https://7pal.short.gy/tntspts1,
TNT Sports 2,https://a1xs.vip/2000022,http://supersonictv.live:8080/006779/439866/85313,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/47851.m3u8,https://7pal.short.gy/tntspts2,
TNT Sports 3,https://a1xs.vip/2000023,http://supersonictv.live:8080/006779/439866/85315,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/47852.m3u8,https://7pal.short.gy/tntspts3,
TNT Sports 4,https://a1xs.vip/2000024,http://supersonictv.live:8080/006779/439866/85317,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/47853.m3u8,https://7pal.short.gy/tntspts4,
Eurosport 1,,http://supersonictv.live:8080/006779/439866/40451,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/47854.m3u8,https://7pal.short.gy/eusport4k,
Eurosport 2,,http://supersonictv.live:8080/006779/439866/40452,http://kstv.us:8080/live/4VUyfZBQzk/95104974615/47855.m3u8,,
